size,avg_b,avg_g,avg_r,avg_h,avg_s,avg_v,std_b,std_g,std_r,std_h,std_s,std_v,blob_count,fire
552.5389748,100.910828,117.1046406,149.6134365,19.55529362,33.29666971,58.67193587,26.16001193,29.19577149,34.23782141,47.75061187,22.08923195,13.64920969,125,0
3448.074241,69.44192173,91.63779528,111.1865787,32.44963593,39.44576179,43.60257986,30.47738303,32.44472266,34.60770654,71.18439494,16.91900334,13.65216516,164,0
162305.4267,42.65453812,52.98035477,89.7242929,45.44464257,55.40171848,35.41848702,41.83500883,44.83526268,37.86107457,169.9490221,20.54778277,17.95136465,221,0
35422.77374,76.77200821,111.6224336,140.6374553,32.41250305,45.92215309,55.15194326,49.30893079,46.75548809,48.60969295,224.8653707,9.568415861,19.86815091,159,0
65439.9078,80.54021394,115.0406881,143.9121891,32.83607357,44.27820117,56.51749286,41.81581974,55.7089056,60.08848295,53.49026412,30.85257066,23.72201898,227,0
10169.62134,87.32617949,118.1718391,157.8407671,27.69270464,43.59295539,61.89834005,36.84993934,42.09553408,49.03562087,38.80273491,23.33167535,19.25977915,145,0
15590.16097,67.73850717,106.7826277,159.5478394,33.00846263,58.03568297,62.56778015,55.25845089,57.88013563,56.76965307,101.1446566,21.46283915,24.78859653,449,0
126676.6901,56.44858735,79.75746537,98.12861301,34.05960405,42.81540721,38.48180902,39.62079997,48.85957634,52.08042187,56.52863227,25.18792614,20.53328545,344,0
78439.40764,33.98045187,61.58548699,75.06926144,40.89951944,54.68141384,29.4403824,15.32737893,18.80754594,26.52919275,29.78585117,40.03910185,10.40808457,339,0
19446.22273,27.05972149,56.61574526,105.1160941,22.75925267,74.90016162,41.22199769,14.94106113,23.59805312,46.13088234,39.29108742,60.5892437,18.12284044,494,0
4194.115108,82.7531131,103.7965936,122.2966708,32.40602809,34.22415329,47.95947874,26.13454667,29.60209598,32.81245212,46.36286749,22.80347621,12.90060451,157,0
6341.683868,68.49578163,87.97372732,110.7031372,28.16833641,39.87955816,43.41299496,23.04166601,25.2932833,28.32325686,92.12696121,18.51075136,11.21005115,141,0
5691.023807,102.1484928,125.5483272,137.9990009,39.84666814,26.97850373,54.11725526,23.08654302,24.17754683,24.62491933,64.38114214,6.99362847,9.705690926,113,0
172521.6764,87.03226109,119.3630984,150.5072239,31.1908225,44.50172536,59.02244074,56.74145507,60.94827801,56.44261898,119.8789716,8.769917096,24.01049906,161,0
6863.516491,74.74329819,98.26792169,123.1902861,28.03896766,39.27673481,48.30991614,33.06257683,33.55868014,35.56372088,261.628683,10.13516779,14.07749376,145,0
25808.33988,118.8939461,146.0006539,167.3531862,34.29201758,29.06121866,65.62870046,20.73924154,22.95217137,24.59379219,72.21386709,18.21655771,9.818804099,160,0
6034.362697,85.98915091,124.570584,149.7647632,34.88362684,42.61381298,58.73127969,37.9157981,36.51854045,39.65167114,302.1980906,11.88694693,15.85344976,173,0
182108.0985,94.59415033,128.0834913,153.0856592,37.36259402,38.14430631,60.03366901,54.93753486,54.25761572,57.31632109,314.0433943,8.169936703,22.79276086,405,0
5196.748732,109.1784959,132.6009805,159.8961472,27.79747694,33.24596053,62.70437143,28.10517378,27.16090731,25.6387448,192.9607835,13.72135032,11.21485278,84,0
21,49.14285714,59.42857143,83.71428571,17.85123967,41.29692833,32.82913165,13.64267016,13.62620525,16.7790767,359.6866683,18.79049433,6.580030079,1,0
559.2492408,65.1775055,92.71714316,107.301707,38.05173196,39.41642347,42.07910078,26.43814113,25.51366915,26.93352515,188.8220808,15.96910997,11.2002836,181,0
